ID | NAME | IATA(3) | ICAO(4) | CALLSIGN | ID_COUNTRY_OF_ORIGIN
171,Aerogala,,AGQ,GALASERVICE,45
172,Amadeus Global Travel Distribution,1A,AGT,AMADEUS,209
173,Angara Airlines,,AGU,SARMA,
174,Air Glaciers,7T,AGV,AIR GLACIERS,216
175,Aero Gambia,,AGW,AERO GAMBIA,81
176,Aviogenex,,AGX,GENEX,197
177,Atlantic Coast Airlines,,BLR,BLUE RIDGE,
178,Aero Barloz,,BLZ,AEROLOZ,144
179,Aeroper,PL,PLI,Aeroperu,174
180,Atlas Blue,8A,BMM,ATLAS BLUE,151
181,Aero Banobras,,BNB,AEROBANOBRAS,144
182,Aero Flight Service,,AGY,FLIGHT GROUP,
183,Agrolet-Mci,,AGZ,AGROLET,202
184,Air Alpha Greenland,GD,AHA,AIR ALPHA,61
185,Azal Avia Cargo,,AHC,AZALAVIACARGO,16
186,Airport Helicopter Basel,,AHE, Muller & Co.,
187,Aeroservices Corporate,,CJE,BIRD JET,76
188,Aspen Helicopters,,AHF,ASPE,
189,Aerochago Airlines,,AHG,AEROCHAGO,64
190,Airplanes Holdings,,AHH,AIRHOLD,107
191,Air Hong Kong,LD,AHK,AIR HONG KONG,100
192,Aerochiapas,,AHP,AEROCHIAPAS,144
193,Air Adriatic,,AHR,ADRIATIC,56
194,Air Viggi San Raffaele,,AHS,AIRSAR,110
195,ABC Air Hungary,,AHU,ABC HUNGARY,101
196,Aeromist-Kharkiv,HT,AHW,AEROMIST,233
197,Azerbaijan Airlines,J2,AHY,AZAL,16
198,Avies,U3,AIA,AVIES,70
199,Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,76
200,Alpine Air Chile,,AIH,ALPINE CHILE,45
201,Air Integra,,AII,INTEGRA,40
202,ABC Aerolineas,,AIJ,ABC AEROLINEAS,144
203,African Airlines International Limited,,AIK,AFRICAN AIRLINES,116
204,African International Airways,,AI,FLY CARGO,214
205,Alpine Air Express,5A,AIP,ALPINE AIR,
206,Alicante Internacional Airlines,,AIU,ALIA,209
207,Aba Air,,ABP,BAIR,60
208,Airblue,ED,ABQ,PAKBLUE,168
209,Airmark Aviation,,THM,THAI AIRMARK,221
210,Airlift International,,AIR,AIRLIFT,
211,Airest,,AIT, ,70
212,Air Baffin,,BFF,AIR BAFFI,40
213,Air Bandama,,BDM,BANDAMA,
214,Air Berlin,AB,BER,AIR BERLI,83
215,Air Brousse,,ABT,AIR BROUSSE,40
216,Air Contractors,AG,ABR,CONTRACT,107
217,Air Illinois,,AIL,AIR ILLINOIS,
218,Air India Limited,AI,AIC,AIRINDIA,103
219,Air Inter Gabon,,AIG, ,80
220,Air Bourbon,ZB,BUB,BOURBO,
221,Air Atlanta Icelandic,CC,ABD,ATLANTA,102
222,Air Inuit,,AIE,AIR INUIT,40
223,Air Sureste,,AIS,SURESTE,209
224,Air Srpska,RB,SBK,Air Srpska,29
225,Air Tahiti Nui,T,THT,TAHITI AIRLINES,76
226,Airvias S/A Linhas Aereas,,AIV,AIRVIAS,32
227,Aero Services Executive,W4,BES,BIRD EXPRESS,76
228,Atlantic Island Airways,,AIW,TARTA,40
229,Aircruising Australia,,AIX,CRUISER,14
230,Aircrew Check and Training Australia,,AIY,AIRCREW,14
231,Arkia Israel Airlines,IZ,AIZ,ARKIA,109
232,A J Services,,AJA,AYJAY SERVICES,
233,Aero JBR,,AJB,AERO JBR,144
234,Aero Jet Express,,AJE,JET EXPRESS,144
235,Avia Consult Flugbetriebs,,AJF,AVIACONSULT,15
236,Ameristar Jet Charter,,AJI,AMERISTAR,
237,A2 Jet Leasing,,AJJ,ATLANTIC JET,
