ID | ID_AIRLINE |ID_SRC_AIRPORT | ID_DST_AIRPORT
207,595,5665,1084
208,595,1063,248
209,595,1063,1059
210,595,1063,273
211,\N,5506,5504
212,\N,5506,6727
213,\N,5512,154
214,\N,62,5496
215,\N,62,6727
216,\N,62,146
217,\N,5496,62
218,\N,5496,5520
219,\N,5496,5529
220,\N,5496,5515
221,\N,5496,146
222,\N,5496,149
223,\N,5504,5506
224,\N,5504,5535
225,\N,5481,5508
226,\N,5481,5499
227,\N,5481,154
228,\N,80,111
229,\N,80,154
230,\N,80,161
231,\N,80,202
232,\N,5520,6727
233,\N,5520,5515
234,\N,5520,154
235,\N,5508,5481
236,\N,5508,6728
237,\N,5508,154
238,\N,6727,5506
239,\N,6727,62
240,\N,6727,5520
241,\N,6727,154
242,\N,111,80
243,\N,111,146
244,\N,5499,5481
245,\N,5499,7253
246,\N,5529,5496
247,\N,5529,5515
248,\N,6728,5508
249,\N,6728,154
250,\N,5515,5496
251,\N,5515,5520
252,\N,5515,5529
253,\N,146,62
254,\N,146,5496
255,\N,146,111
256,\N,146,149
257,\N,149,5496
258,\N,149,146
259,\N,154,5512
260,\N,154,5496
261,\N,154,5481
262,\N,154,80
263,\N,154,5520
264,\N,154,5508
265,\N,154,6727
266,\N,154,6728
267,\N,7253,5499
268,\N,7253,5535
269,\N,161,80
270,\N,161,202
271,\N,5535,5504
272,\N,5535,7253
273,\N,202,80
274,\N,202,161
